Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Geo35-Epi.F	Geo35-Epi.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41724.0	0.0	96.0	43.0	63.3016968651136	96.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
Geo35-Epi.R	Geo35-Epi.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41724.0	0.0	101.0	45.0	70.05560348959831	101.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Geo35-dd.F	Geo35-dd.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40100.0	0.0	96.0	41.0	58.85785536159601	96.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
Geo35-dd.R	Geo35-dd.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40100.0	0.0	101.0	42.0	63.66334164588528	101.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
Geo4-Epi.F	Geo4-Epi.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1602472.0	0.0	96.0	37.0	8.215303108830797	96.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Geo4-Epi.R	Geo4-Epi.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1602472.0	0.0	101.0	39.0	14.462673975816484	101.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Geo4-dd.F	Geo4-dd.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1678591.0	0.0	96.0	36.0	9.312550102308952	96.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Geo4-dd.R	Geo4-dd.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1678591.0	0.0	101.0	38.0	15.25899203042316	101.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Geo60-Epi.F	Geo60-Epi.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	326689.0	0.0	96.0	40.0	26.278815631992508	96.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Geo60-Epi.R	Geo60-Epi.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	326689.0	0.0	101.0	42.0	32.99744018122238	101.0	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
Geo60-dd.F	Geo60-dd.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	287135.0	0.0	96.0	39.0	30.248837654761694	96.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Geo60-dd.R	Geo60-dd.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	287135.0	0.0	101.0	41.0	37.577231193920944	101.0	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
Geo66-Epi.F	Geo66-Epi.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50947.0	0.0	96.0	43.0	61.350030423773724	96.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
Geo66-Epi.R	Geo66-Epi.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50947.0	0.0	101.0	45.0	65.44840716823366	101.0	pass	warn	pass	fail	fail	pass	pass	warn	fail	pass
Geo66-dd.F	Geo66-dd.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48197.0	0.0	96.0	42.0	63.64918978359649	96.0	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
Geo66-dd.R	Geo66-dd.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48197.0	0.0	101.0	43.0	68.17021806336494	101.0	pass	warn	pass	fail	fail	pass	pass	warn	warn	pass
